"","EE-a","EE-b","L2-a","L2-b","L4-a","L4-b","YA-a","YA-b"
"WBGene00270519",0.136114391489688,0.313746617837361,-0.515622108846376,-0.175555412620676,-1.34364745790458,0.748840837895303,3.23971261177455,3.57467585777126
"WBGene00270520",2.43709554793214,2.17232686325014,-0.515622108846376,-1.14858836502041,-1.34364745790458,-1.10742368464325,-3.58556421828032,-5.2034012717641
"WBGene00270521",0.396980960640771,-0.0389250004811089,-0.515622108846376,2.42295361993843,-1.34364745790458,2.43120010141104,0.962872406415721,0.727336065798784
"WBGene00270523",0.636319274031209,0.0472316432686055,-0.515622108846376,0.0272614703790107,1.82627754353774,3.81759352914959,3.02619834178455,2.93102504845682
"WBGene00270524",-1.61390735550196,-2.60186119487227,-0.515622108846376,0.0738040563160409,-1.34364745790458,-0.410815828093182,-0.698038947538734,-0.559545081989378
"WBGene00270526",3.06791668447178,3.31591771687899,2.65430289259594,3.04196796919404,0.978280636982787,1.8611438075201,1.84070053642178,1.6669634478193
"WBGene00270527",0.307482809801669,0.0472316432686055,-0.515622108846376,1.93572792091307,-1.34364745790458,0.14311977700735,-0.778209296222717,-2.88147317687674
"WBGene00270528",-1.90341397269695,-1.53773085745255,-0.515622108846376,2.0448913644008,1.82627754353774,1.79614655267366,1.12593068836977,0.86268791869367
"WBGene00270529",-0.119142663752387,-1.97382997225922,-0.515622108846376,-0.411622770854201,2.35679226023652,3.08171923234321,2.02914562583489,0.351187579913535
"WBGene00270530",-6.65830147486042,-6.06129281350956,-0.515622108846376,-5.90347586718388,0.978280636982787,2.18941342928128,4.02767273643601,3.83825787987311
"WBGene00270531",1.43445566605943,1.48560164637807,-0.515622108846376,0.864708457593051,0.978280636982787,1.94748465645914,2.04087491841699,2.73323666723847
"WBGene00270534",4.13854932040674,4.09479026277912,3.57184073240396,4.31448183068024,4.27106238621063,4.78362670226938,4.49445381080885,4.6342266614073
"WBGene00270535",1.23044177403784,1.09857852326883,-0.515622108846376,-5.90347586718388,-1.34364745790458,-2.79547967832851,-3.10013739111008,-5.2034012717641
"WBGene00270536",5.09700341340198,4.89943318132949,3.87669531393238,5.45682255943417,5.95097329098705,5.94785875085794,5.70583674120337,5.88074273885104
"WBGene00270537",-0.468476915980401,-0.70374080889148,1.80630598604099,2.62400113887652,-1.34364745790458,0.0569631332576352,1.01137092410691,0.727336065798784
"WBGene00270539",0.109882849916508,0.508562794821384,-0.515622108846376,-2.73355086574156,-1.34364745790458,-2.26496496162973,1.23205903923111,1.30439336843459
"WBGene00270540",-0.876941761335758,-1.97382997225922,-0.515622108846376,-1.37991391112686,3.04866996487418,2.78613937931828,3.55807409164172,3.57467585777126
"WBGene00270541",-1.52901845791545,-1.20331181838199,4.84192989577171,3.60233568673572,3.30020873187015,0.748840837895303,1.93171147492926,1.2723321592023
"WBGene00270542",-2.95786175671933,-3.7393647186222,-0.515622108846376,-5.90347586718388,-1.34364745790458,1.78278816981864,3.22949879891255,2.94125697106778
"WBGene00270543",1.88473034539482,1.65980637519762,-0.515622108846376,0.400304880993228,3.41124004425889,1.78278816981864,4.09953495372628,3.60072974941922
"WBGene00270544",-0.0884458665294702,-0.0389250004811089,-0.515622108846376,1.27643322283106,-1.34364745790458,2.43973678336552,1.65475011105339,1.85188116373709
"WBGene00270545",2.1328614136946,2.05244935253962,-0.515622108846376,-0.288766023068667,2.35679226023652,1.13262740318971,4.33924828532546,3.17597709530716
"WBGene00270546",4.45609158000689,5.12914920527326,4.12823408092835,5.12235580114815,5.37059805976155,5.88047735461324,5.42510374462153,6.40623920267271
"WBGene00270547",3.72648227523293,3.14572150666797,1.80630598604099,3.12166369509463,2.35679226023652,3.77437593000244,2.89016921268608,2.57138578783707
