"","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692"
"WBGene00072035",1.51768960139091,-0.706881826920514,-2.26518158434855,-1.01605829888539,-0.413155047320653,1.41020609184807
"WBGene00072033",4.1158786669843,2.10047309513709,2.83074283564999,2.6843814192557,4.02866986711818,2.82983086062256
"WBGene00072039",-2.74397796867897,2.99355789122058,1.44997963949931,3.37625912389337,4.26652611065364,3.3893809421707
"WBGene00072034",6.49897957266006,2.99355789122058,2.97513274498517,2.6843814192557,4.73019172071075,2.59536560698554
"WBGene00083246",-2.2492132769294,0.878080673800643,-0.70740391295362,0.723789803813934,1.44806304709763,0.962830650098251
"WBGene00070942",0.156954689227199,3.66188652216982,2.2638063973528,2.15386670255692,3.06725780859712,3.09177710992606
"WBGene00083890",2.21865517885654,3.38058101432983,3.11101617306694,3.07140454236495,4.09961362866236,3.9083756372575
"WBGene00072709",4.03380037343875,-0.706881826920514,-6.17207217995706,-1.01605829888539,-3.22050996937826,-5.88441465704356
"WBGene00064200",6.67674786928554,4.15109916820706,6.05223102941632,4.91467903867749,4.91186122935428,3.73580516846393
"WBGene00064199",6.21786631797428,2.75254979171678,3.23943880805501,3.07140454236495,4.34630518463264,2.88707481245704
"WBGene00073705",-4.61844708659512,4.42240119002445,1.46455244058658,3.62779789088933,-5.54243806426562,-4.88441465704356
"WBGene00073706",4.93656376839488,1.61504626796685,2.42784066223006,2.4433733197519,3.01598264900304,1.06978165334331
"WBGene00073315",-0.37051957315153,-0.706881826920514,-1.21787586957019,-1.01605829888539,-2.37251306282331,-4.2994521563224
"WBGene00073317",-6.20340958731627,-0.706881826920514,-6.17207217995706,1.30586979600197,-1.29451055082203,4.46541943441369
"WBGene00073707",-0.3454285921887,-0.706881826920514,-3.58710967923591,-1.01605829888539,-2.95747556354446,-4.2994521563224
"WBGene00073316",-2.74397796867897,-0.706881826920514,-1.49964683798557,-1.01605829888539,-1.84199834612453,-1.4145286807691
"WBGene00084635",-2.32762952424778,-0.706881826920514,-0.709365429286906,-1.01605829888539,-1.54785834004987,-1.04344795255614
"WBGene00073659",6.07067731831814,3.200008768688,4.97703981074982,4.19339506674356,5.20743136313122,5.12681259837969
"WBGene00073657",4.89987822109575,5.2703980965794,4.80806739768209,3.62779789088933,4.94339124443629,4.23192930419391
"WBGene00074851",4.09579843107101,4.50257153870844,5.16610706994305,4.81683171527935,5.0054204417928,4.83497416389852
"WBGene00073663",5.18987360256821,2.91838866245418,3.01735706585269,2.52743758454038,2.63667483641294,2.00225741675801
"WBGene00073662",1.60394533474133,0.878080673800643,3.33373937396253,1.30586979600197,1.35237969904232,1.78801068492793
"WBGene00073661",-2.50296986917518,-0.706881826920514,-3.00214717851475,2.6843814192557,-1.84199834612453,4.19240094000727
"WBGene00073660",5.92415276297433,0.878080673800643,2.57947187913203,2.4433733197519,3.62246886241007,2.3152576877928
"WBGene00074852",-0.195765556438258,4.15109916820706,3.96576431380902,4.02833582047306,4.8018578436502,6.43854437094278
"WBGene00073539",3.48543516456306,-0.706881826920514,-1.8501440850697,0.568904201835763,1.71494977842703,1.49928963543049
"WBGene00073537",4.32113212771958,0.878080673800643,2.48970591781492,0.568904201835763,2.09418655627803,1.8637781925459
"WBGene00073535",3.2374595802946,0.878080673800643,3.90206928279544,2.6843814192557,4.59070414813498,4.54499208447042
"WBGene00073538",6.07948770596092,1.61504626796685,4.43433303274072,2.4433733197519,3.65723428057074,2.9132468688102
"WBGene00073824",0.0176941380516041,1.61504626796685,3.16777782292756,2.4433733197519,1.47992974876284,1.92294026501404
"WBGene00075439",0.840984532042182,2.10047309513709,3.69056517760173,2.6843814192557,2.72434847642928,3.46174445311509
"WBGene00073940",3.08199263154598,-0.706881826920514,-1.52821599018234,-1.01605829888539,1.68638062623026,1.79506544246189
"WBGene00073939",4.7518770582082,2.99355789122058,2.24155574906711,2.4433733197519,3.33714518534716,1.99822839231828
"WBGene00078158",-2.29651899170775,0.293118173079486,-1.12767806059861,-1.01605829888539,-1.73508314220802,-0.240558467268836
